Bluetooth,CDMA,Docking Station,External Battery,Fingerprint,Infrared,Installed Memory,Manufacturer_Acer,Manufacturer_Apple,Manufacturer_Asus,Manufacturer_Averatec,Manufacturer_Dell,Manufacturer_Fujitsu,Manufacturer_Gateway,Manufacturer_HP,Manufacturer_Lenovo,Manufacturer_Panasonic,Manufacturer_Sony,Manufacturer_Toshiba,Max Horizontal Resolution,Memory Technology_DDR-SDRAM_(DDRRAM),Memory Technology_DDR2,Memory Technology_SDRAM,Operating System_Mac_OS,Operating System_VistaHB:_Vista_Home_Basic,Operating System_VistaHP:_Vista_Home_Premium,Operating System_VistaUlt:_Vista_Ultimate,Operating System_Vista_Business,Operating System_WinXP,Operating System_WinXP_Pro,Port Replicator,Price,Processor Speed,Processor_AMD Athlon 64x2 Doble Nucleo,Processor_AMD Mobile Sempron,Processor_AMD Turion 64x2,Processor_Intel Celeron,Processor_Intel Core2 Duo,Processor_Intel Core2 Solo,Processor_Intel Pentium Dual-Core,Processor_PowerPC,Subwoofer,Warranty-Days,market_impact,SalesScaled
1,0,0,0,1,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,60699.0,1800.0,0,0,1,0,0,0,0,0,0,365,0.298,80467.22036
1,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,1,57499.5,2200.0,0,0,1,0,0,0,0,0,0,365,12.725999999999999,90621.66823
0,0,0,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,64999.5,1800.0,0,0,1,0,0,0,0,0,0,365,0.49200000000000005,78029.32453
0,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,56899.0,1660.0,0,0,0,0,1,0,0,0,0,720,0.0,48030.98455
1,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,768,0,1,0,0,0,1,0,0,0,0,0,59349.5,1660.0,0,0,0,0,1,0,0,0,0,720,0.0,53629.47474
0,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,768,0,1,0,0,0,1,0,0,0,0,0,59999.5,2000.0,0,0,0,0,1,0,0,0,0,720,0.22899999999999998,57692.480760000006
1,0,0,0,0,1,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,60331.0,1800.0,0,0,0,0,1,0,0,0,0,720,0.0,42877.90247
1,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,62449.5,1660.0,0,0,0,0,1,0,0,0,0,720,0.22899999999999998,44908.354889999995
0,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,67099.0,1660.0,0,0,0,0,1,0,0,0,0,720,54.257,58649.77567
0,0,0,0,0,1,1000,0,0,1,0,0,0,0,0,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,0,67950.0,2000.0,0,0,0,0,1,0,0,0,0,720,54.257,69722.24389
1,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,1050,0,1,0,0,0,1,0,0,0,0,0,67999.5,2200.0,0,0,0,0,1,0,0,0,0,720,15.536,75982.1756
1,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,768,0,1,0,0,0,1,0,0,0,0,0,71839.5,1660.0,0,0,0,0,1,0,0,0,0,365,8.419,29264.94308
0,0,0,0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,56999.5,1600.0,0,0,0,0,1,0,0,0,0,365,63.677,92634.12649
0,0,0,0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,57999.5,1600.0,0,0,0,0,1,0,0,0,0,365,54.257,81175.0587
0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,64999.5,1600.0,0,0,0,0,1,0,0,0,0,365,57.766999999999996,104348.6503
0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,69999.5,2000.0,0,0,0,0,1,0,0,0,0,365,0.0,84077.82585
0,0,0,0,0,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,74950.0,1500.0,0,0,0,0,1,0,0,0,0,365,7.117000000000001,75037.2942
1,0,0,0,1,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,59950.0,1800.0,0,0,0,0,1,0,0,0,0,365,55.258,98229.65301000001
0,0,0,0,1,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,0,72250.0,1800.0,0,0,0,0,1,0,0,0,1,365,9.42,70771.38585
0,0,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,0,0,0,1200,0,1,0,0,0,1,0,0,0,0,0,69999.5,2000.0,0,0,0,0,1,0,0,0,0,365,16.537,136019.191
0,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,1,58749.5,1500.0,0,0,0,0,1,0,0,0,0,365,55.258,115521.5137
0,0,1,0,0,1,1000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,1,62200.0,2000.0,0,0,0,0,1,0,0,0,0,365,9.42,37713.972539999995
1,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,1,64999.5,1660.0,0,0,0,0,1,0,0,0,0,365,55.258,99017.89487
0,0,0,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,0,67450.0,1500.0,0,0,0,0,1,0,0,0,0,365,16.537,74799.31829
1,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,1,0,0,0,0,1,68999.5,1730.0,0,0,0,0,1,0,0,0,0,365,0.0,83957.80442999999
0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,59450.0,1800.0,0,0,0,0,1,0,0,0,0,365,16.537,39544.47837
0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,1,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,59450.0,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,58758.5259
0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,57499.5,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,36180.14273
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,57997.5,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,82203.86593
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,59999.5,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,81173.57527999999
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,59999.5,1800.0,0,0,0,0,1,0,0,0,0,365,7.117000000000001,72903.96484
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,62400.0,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,79938.2043
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,62400.0,1800.0,0,0,0,0,1,0,0,0,0,365,7.117000000000001,71668.59386000001
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,62499.5,1800.0,0,0,0,0,1,0,0,0,0,365,16.537,60672.95102000001
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,64960.0,1800.0,0,0,0,0,1,0,0,0,0,365,0.0,78620.74972
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,0,69749.5,2000.0,0,0,0,0,1,0,0,0,0,365,16.537,64992.43599
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,900,0,1,0,0,0,1,0,0,0,0,0,71997.5,1800.0,0,0,0,0,1,0,0,0,0,365,9.42,70901.3301
0,0,1,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,1,0,0,0,0,1,74994.5,2000.0,0,0,0,0,1,0,0,0,0,365,16.537,62293.198
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,58950.0,1800.0,0,0,0,0,1,0,0,0,0,365,55.258,98744.28371
0,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,59750.0,1660.0,0,0,0,0,1,0,0,0,0,365,63.677,111501.3065
0,0,0,0,1,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,59999.5,1660.0,0,0,0,0,1,0,0,0,0,365,63.677,65092.89683
0,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,59999.5,1660.0,0,0,0,0,1,0,0,0,1,365,38.721,82377.00081
0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,59999.5,1730.0,0,0,0,0,1,0,0,0,0,365,45.838,87828.91612000001
0,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,900,0,1,0,0,0,1,0,0,0,0,0,61749.5,1660.0,0,0,0,0,1,0,0,0,0,365,16.537,71292.52455
1,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,800,0,1,0,0,0,1,0,0,0,0,0,62642.5,1800.0,0,0,0,0,1,0,0,0,0,365,54.257,95681.43055
0,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,0,0,0,1,900,0,1,0,0,0,1,0,0,0,0,0,64000.0,2000.0,0,0,0,0,1,0,0,0,0,365,54.257,109880.1079
0,0,0,0,0,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,1,0,0,0,0,0,57499.5,1600.0,0,0,0,0,0,0,1,0,0,365,15.536,23930.71132
1,0,1,0,0,1,2000,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,1,0,0,0,1,73700.0,1800.0,0,0,1,0,0,0,0,0,0,365,15.102,56576.3015
0,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,0,1,0,0,0,1,63250.0,2000.0,0,0,0,0,1,0,0,0,0,365,15.102,76851.48072
1,0,1,0,1,0,1000,0,0,0,0,0,0,0,0,1,0,0,0,900,0,1,0,0,0,0,1,0,0,0,1,60455.5,2000.0,0,0,0,0,1,0,0,0,0,365,72.044,86090.10625
1,0,0,0,1,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,1050,0,1,0,0,0,0,1,0,0,0,0,65150.0,2200.0,0,0,0,0,1,0,0,0,0,365,90.238,191298.9505
0,0,0,0,0,1,512,1,0,0,0,0,0,0,0,0,0,0,0,900,0,1,0,0,0,0,0,0,1,0,0,62940.0,1500.0,0,0,0,1,0,0,0,0,0,365,71.788,109873.7276
1,0,0,0,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,1,0,0,58750.0,1660.0,0,0,0,0,1,0,0,0,0,365,90.493,96893.96745
0,0,0,0,0,1,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,1,0,0,67449.0,1830.0,0,0,0,0,1,0,0,0,0,365,71.788,68504.62462
1,0,0,0,0,1,1000,0,0,1,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,1,0,0,69999.5,2000.0,0,0,0,0,1,0,0,0,0,365,90.493,95768.31743
0,0,1,0,0,1,1000,0,0,0,0,1,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,1,0,1,69999.5,1060.0,0,0,0,0,1,0,0,0,0,1095,13.672,68098.22965
0,0,0,0,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,1,0,0,69950.0,1830.0,0,0,0,0,1,0,0,0,0,365,0.0,54562.487239999995
0,0,1,0,0,1,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,0,0,0,1,0,1,57250.0,1660.0,0,0,0,0,1,0,0,0,0,365,59.325,114578.3745
0,0,1,0,0,0,2000,0,0,0,0,0,0,0,1,0,0,0,0,900,0,1,0,0,0,0,0,0,1,0,1,68999.5,1660.0,0,0,0,0,1,0,0,0,0,365,59.325,108531.7212
1,0,1,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,900,0,1,0,0,0,0,0,0,1,0,1,64950.0,2000.0,0,0,0,0,1,0,0,0,0,365,59.325,115279.4061
1,0,1,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,800,0,1,0,0,0,0,0,0,1,0,0,74950.0,1660.0,0,0,0,0,1,0,0,0,0,365,38.623000000000005,28289.73288
1,0,1,0,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,800,0,1,0,0,0,0,0,0,0,1,1,59998.5,1800.0,0,0,1,0,0,0,0,0,0,365,0.0,34894.080630000004
1,0,0,0,1,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1050,1,0,0,0,0,0,0,0,0,1,0,66383.0,1800.0,0,0,1,0,0,0,0,0,0,1095,13.672,81421.92132000001
